data,vendas,vendas_Outra_Faculdade,vendas_PUCRIO,vendas_UFABC,vendas_UFF,vendas_UFMG,vendas_UFPE,vendas_UFRJ,vendas_UFSC,vendas_UNICAMP,vendas_USP,vendas_UTFPR,vendas_Belo_Horizonte,vendas_Brasilia,vendas_Campinas,vendas_Campo_Grande,vendas_Curitiba,vendas_Florianopolis,vendas_Fortaleza,vendas_Goiania,vendas_Joinville,vendas_Juiz_de_Fora,vendas_Manaus,vendas_Natal,vendas_Niteroi,vendas_Outra_Cidade,vendas_Porto_Alegre,vendas_Recife,vendas_Rio_de_Janeiro,vendas_Salvador,vendas_Santo_Andre,vendas_Sao_Carlos,vendas_Sao_Paulo,trend,seasonal
2018-01-01,1819.0,618.0,100.0,17.0,194.0,34.0,71.0,407.0,23.0,200.0,145.0,10.0,56.0,41.0,115.0,14.0,17.0,14.0,12.0,12.0,5.0,34.0,12.0,3.0,79.0,587.0,11.0,51.0,521.0,25.0,9.0,14.0,187.0,,-2401.784432870371
2018-02-01,2012.0,652.0,98.0,22.0,199.0,34.0,85.0,492.0,28.0,219.0,168.0,15.0,56.0,38.0,121.0,18.0,22.0,21.0,13.0,11.0,7.0,39.0,9.0,2.0,81.0,654.0,11.0,62.0,592.0,23.0,13.0,14.0,205.0,,-1835.228877314815
2018-03-01,4035.0,926.0,229.0,16.0,357.0,46.0,163.0,1473.0,30.0,577.0,196.0,22.0,111.0,46.0,316.0,31.0,31.0,18.0,15.0,20.0,8.0,112.0,18.0,9.0,171.0,1103.0,14.0,123.0,1544.0,22.0,12.0,29.0,282.0,,935.8683449074081
2018-04-01,4305.0,1204.0,189.0,186.0,512.0,96.0,134.0,1098.0,151.0,434.0,218.0,83.0,137.0,80.0,233.0,26.0,114.0,95.0,18.0,29.0,17.0,109.0,22.0,4.0,232.0,1299.0,21.0,105.0,1300.0,38.0,40.0,27.0,359.0,,670.7989004629621
2018-05-01,3956.0,1462.0,176.0,130.0,349.0,212.0,158.0,721.0,122.0,376.0,178.0,72.0,225.0,146.0,216.0,37.0,94.0,65.0,18.0,28.0,22.0,68.0,18.0,8.0,155.0,1250.0,20.0,110.0,1065.0,41.0,39.0,31.0,300.0,,267.660011574074
2018-06-01,3962.0,1449.0,163.0,115.0,465.0,144.0,149.0,676.0,107.0,414.0,211.0,69.0,175.0,108.0,239.0,38.0,88.0,63.0,22.0,27.0,17.0,92.0,16.0,10.0,197.0,1273.0,29.0,110.0,1034.0,43.0,37.0,30.0,314.0,,133.66001157407436
2018-07-01,2875.0,1071.0,106.0,211.0,287.0,112.0,115.0,417.0,72.0,272.0,168.0,44.0,127.0,71.0,141.0,19.0,57.0,37.0,16.0,16.0,10.0,57.0,13.0,9.0,123.0,982.0,33.0,85.0,666.0,44.0,62.0,20.0,287.0,3863.541666666666,-1363.8469328703704
2018-08-01,3959.0,1411.0,139.0,188.0,324.0,146.0,153.0,842.0,124.0,392.0,174.0,66.0,154.0,91.0,210.0,35.0,95.0,68.0,25.0,22.0,12.0,99.0,25.0,9.0,143.0,1305.0,24.0,115.0,1103.0,29.0,47.0,21.0,327.0,3946.6666666666665,-72.83651620370327
2018-09-01,4566.0,1459.0,235.0,152.0,471.0,157.0,213.0,1097.0,111.0,465.0,140.0,66.0,183.0,133.0,250.0,40.0,92.0,65.0,23.0,23.0,17.0,108.0,19.0,7.0,201.0,1390.0,27.0,169.0,1432.0,37.0,40.0,19.0,291.0,4056.9999999999995,1207.7884837962968
2018-10-01,5079.0,2142.0,222.0,228.0,428.0,192.0,193.0,859.0,136.0,370.0,238.0,71.0,253.0,138.0,213.0,36.0,107.0,81.0,44.0,59.0,17.0,108.0,24.0,57.0,189.0,1698.0,36.0,171.0,1183.0,137.0,61.0,101.0,366.0,4219.333333333332,1541.3093171296298
